,lat,lon,transposition_factor,tilt,azimuth,POA_GLOBAL_IRRADIANCE
0,-20.75,57.099998474121094,1.0496396,20,0,288.94626
0,-20.75,57.150001525878906,1.049639,20,0,288.95032
0,-20.75,57.20000076293945,1.0494016,20,10,286.7347
0,-20.75,57.25,1.0496434,20,10,285.5319
0,-20.75,57.29999923706055,1.0491958,20,10,283.92477
0,-20.75,57.349998474121094,1.0491631,20,10,283.88986
0,-20.75,57.400001525878906,1.0484048,20,0,282.2082
0,-20.75,57.45000076293945,1.0482714,20,0,280.22498
0,-20.75,57.5,1.048271,20,0,280.14035
0,-20.75,57.54999923706055,1.0480658,20,10,277.95703
0,-20.75,57.599998474121094,1.0477396,20,10,275.34653
0,-20.75,57.650001525878906,1.0477811,20,10,275.33914
0,-20.75,57.70000076293945,1.0470091,20,0,274.38953
0,-20.75,57.75,1.0464822,20,0,273.29282
0,-20.75,57.79999923706055,1.0464929,20,0,273.23236
0,-20.75,57.849998474121094,1.0462013,20,0,272.81195
0,-20.75,57.900001525878906,1.0460075,20,0,271.28476
0,-20.75,57.95000076293945,1.0460073,20,0,271.2559
0,-20.75,58.0,1.0458732,20,0,272.76428
0,-20.700000762939453,57.099998474121094,1.0494266,20,0,292.6004
0,-20.700000762939453,57.150001525878906,1.0499351,20,0,290.40967
0,-20.700000762939453,57.20000076293945,1.0494509,20,10,287.01813
0,-20.700000762939453,57.25,1.0494736,20,0,287.00604
0,-20.700000762939453,57.29999923706055,1.0489444,20,10,284.27872
0,-20.700000762939453,57.349998474121094,1.0485858,20,10,282.10477
0,-20.700000762939453,57.400001525878906,1.0485474,20,10,282.02686
0,-20.700000762939453,57.45000076293945,1.0479201,20,10,280.9953
0,-20.700000762939453,57.5,1.0481366,20,10,279.35126
0,-20.700000762939453,57.54999923706055,1.0481263,20,10,279.319
0,-20.700000762939453,57.599998474121094,1.0478649,20,10,276.65884
0,-20.700000762939453,57.650001525878906,1.0465459,20,10,273.96307
0,-20.700000762939453,57.70000076293945,1.0465746,20,10,273.98254
0,-20.700000762939453,57.75,1.0464157,20,0,272.72867
0,-20.700000762939453,57.79999923706055,1.0461111,20,0,272.54532
0,-20.700000762939453,57.849998474121094,1.0461339,20,0,272.5084
0,-20.700000762939453,57.900001525878906,1.0456672,20,0,271.21826
0,-20.700000762939453,57.95000076293945,1.045409,20,0,271.95166
0,-20.700000762939453,58.0,1.0453868,20,0,271.93887
0,-20.649999618530273,57.099998474121094,1.0492897,20,0,291.05844
0,-20.649999618530273,57.150001525878906,1.0491322,20,0,289.12155
0,-20.649999618530273,57.20000076293945,1.0491533,20,0,289.04633
0,-20.649999618530273,57.25,1.049182,20,0,287.43854
0,-20.649999618530273,57.29999923706055,1.0484704,20,0,283.29684
0,-20.649999618530273,57.349998474121094,1.0484828,20,0,283.25723
0,-20.649999618530273,57.400001525878906,1.0480258,20,0,279.77435
0,-20.649999618530273,57.45000076293945,1.0474862,20,0,277.83075
0,-20.649999618530273,57.5,1.0474693,20,0,277.7468
0,-20.649999618530273,57.54999923706055,1.047371,20,10,275.5057
0,-20.649999618530273,57.599998474121094,1.046672,20,10,273.27066
0,-20.649999618530273,57.650001525878906,1.046641,20,10,273.2478
0,-20.649999618530273,57.70000076293945,1.0463861,20,0,273.092
0,-20.649999618530273,57.75,1.046134,20,0,272.4775
0,-20.649999618530273,57.79999923706055,1.0462064,20,0,271.58295
0,-20.649999618530273,57.849998474121094,1.0464072,20,0,271.59503
0,-20.649999618530273,57.900001525878906,1.046177,20,0,270.91068
0,-20.649999618530273,57.95000076293945,1.0461975,20,0,270.88718
0,-20.649999618530273,58.0,1.0457406,20,0,269.75824
0,-20.600000381469727,57.099998474121094,1.0485318,20,0,289.67294
0,-20.600000381469727,57.150001525878906,1.0487432,20,0,289.4137
0,-20.600000381469727,57.20000076293945,1.0486938,20,0,287.9006
0,-20.600000381469727,57.25,1.0487229,20,0,287.86703
0,-20.600000381469727,57.29999923706055,1.048077,20,0,283.57556
0,-20.600000381469727,57.349998474121094,1.0474387,20,0,279.26797
0,-20.600000381469727,57.400001525878906,1.0473741,20,0,279.18536
0,-20.600000381469727,57.45000076293945,1.0471605,20,0,276.82874
0,-20.600000381469727,57.5,1.046909,20,10,274.49966
0,-20.600000381469727,57.54999923706055,1.0468585,20,10,274.43585
0,-20.600000381469727,57.599998474121094,1.0463215,20,0,270.83142
0,-20.600000381469727,57.650001525878906,1.0460325,20,10,269.95367
0,-20.600000381469727,57.70000076293945,1.045933,20,10,269.7636
0,-20.600000381469727,57.75,1.0459303,20,10,269.7945
0,-20.600000381469727,57.79999923706055,1.0462735,20,0,271.0544
0,-20.600000381469727,57.849998474121094,1.0462693,20,0,271.047
0,-20.600000381469727,57.900001525878906,1.0460408,20,0,271.90665
0,-20.600000381469727,57.95000076293945,1.0457444,20,0,269.9362
0,-20.600000381469727,58.0,1.0457567,20,0,269.92813
0,-20.549999237060547,57.099998474121094,1.0483177,20,0,287.88113
0,-20.549999237060547,57.150001525878906,1.0481161,20,0,288.0665
0,-20.549999237060547,57.20000076293945,1.0481404,20,0,287.95703
0,-20.549999237060547,57.25,1.0474055,20,0,284.3808
0,-20.549999237060547,57.29999923706055,1.046831,20,10,279.37946
0,-20.549999237060547,57.349998474121094,1.0468129,20,10,279.3781
0,-20.549999237060547,57.400001525878906,1.0467141,20,10,274.9456
0,-20.549999237060547,57.45000076293945,1.0460763,20,10,271.29416
0,-20.549999237060547,57.5,1.0460476,20,10,271.24176
0,-20.549999237060547,57.54999923706055,1.045639,20,10,268.07053
0,-20.549999237060547,57.599998474121094,1.0455315,20,10,267.1484
0,-20.549999237060547,57.650001525878906,1.04554,20,10,267.1014
0,-20.549999237060547,57.70000076293945,1.0453322,20,10,263.2082
0,-20.549999237060547,57.75,1.0454271,20,10,265.5413
0,-20.549999237060547,57.79999923706055,1.0453842,20,10,265.58093
0,-20.549999237060547,57.849998474121094,1.0453211,20,10,267.17328
0,-20.549999237060547,57.900001525878906,1.0454537,20,10,267.27805
0,-20.549999237060547,57.95000076293945,1.0454006,20,10,267.25186
0,-20.549999237060547,58.0,1.0455359,20,10,267.4943
0,-20.5,57.099998474121094,1.0477892,20,0,286.61853
0,-20.5,57.150001525878906,1.0475535,20,0,285.99127
0,-20.5,57.20000076293945,1.0473037,20,0,284.6078
0,-20.5,57.25,1.0468657,20,10,279.227
0,-20.5,57.29999923706055,1.0468401,20,10,279.1182
0,-20.5,57.349998474121094,1.0455941,20,10,265.08865
0,-20.5,57.400001525878906,1.0445061,20,20,251.0806
0,-20.5,57.45000076293945,1.0445004,20,20,251.09537
0,-20.5,57.5,1.0437455,20,10,248.19342
0,-20.5,57.54999923706055,1.044201,20,10,253.64406
